,state,city,occupation,salary,cpi_index,rent_index,restaurant_price_index,groceries_index,cpi_single,cpi_family,rent_single,rent_family,groceries_single,groceries_family,restaurant_single,restaurant_family,col_single,col_family,ds_single,ds_family
0,California,Cupertino,"Data Scientist, IT",125000.0,80.39738517116805,72.87580555535713,87.24363111967925,81.58303658898065,1573.6501789093409,4582.224848615172,1815.5476562200568,3402.74261952268,231.4429164992792,1157.1982658890784,694.3109895397434,2063.4863632426536,3389.1978351293974,7984.967468137852,7027.468831537269,2431.699198528814
1,California,Irvine,"Data Scientist, IT",85295.36,89.49280208374347,56.280840151021515,78.19897953503381,76.19441343191448,1751.6784123059444,5100.615406922334,1402.118942598384,2627.88468662555,216.15593146499822,1080.7644184423048,622.3309388336597,1849.5622639626197,3153.797354904328,7728.500093547884,3954.1493117623386,-620.5534268812171
2,California,Los Angeles,"Data Scientist, IT",86269.74,78.00015668150301,58.8245356752999,77.04440732107268,86.13324443708926,1526.7282667897312,4445.59553001526,1465.4897748251788,2746.6558083385894,244.35140114357853,1221.7397790690052,613.1425067832928,1822.254321958011,2992.21804161491,7192.25133835385,4196.926958385091,-3.1063383538494236
3,California,Menlo Park,"Data Scientist, IT",86400.0,89.8164568186001,74.3357889254821,80.57538917732417,93.97744861359675,1758.013435893187,5119.062011439068,1851.920075921643,3470.9126740347347,266.6046239719126,1333.0043243698403,641.2431196898989,1905.769104822071,3609.93351181483,8589.974685473802,3590.06648818517,-1389.9746854738023
4,California,Mountain View,"Data Scientist, IT",103042.0,88.0312048241135,74.45469644082486,81.23548678698016,92.16816711097931,1723.0699845043032,5017.312109588902,1854.8824069606258,3476.464745358749,261.4718732771372,1307.340932752264,646.4963744968243,1921.3817334856546,3577.952391464929,8493.776854947651,5008.880941868405,93.05647838568257
5,California,Palo Alto,"Data Scientist, IT",114109.51,88.24937932747912,74.69847511609082,82.01072722644962,92.54535854249175,1727.3404013284796,5029.746899955874,1860.955640719659,3487.847344586804,262.54192764919486,1312.6911291742658,652.6659704862541,1939.7177203599863,3588.2960420481386,8517.594244542677,5920.829791285195,991.5315887906563
6,California,San Diego,"Data Scientist, IT",91324.0,62.44659841027246,43.98485639047013,73.04962381887397,70.34133153166468,1222.292249323627,3559.125142413956,1095.7903287701433,2053.756309283568,199.5513234221795,997.7425488445913,581.3508212377448,1727.7697025640068,2318.0825780937703,5612.8814516975235,5292.250755239563,1997.4518816358095
7,California,San Francisco,"Data Scientist, IT",114060.42,89.97677643079977,74.69278806352919,80.82252407882157,91.6805964003635,1761.1514357906162,5128.199379640504,1860.8139597478964,3487.581802738128,260.0886839281912,1300.425083521676,643.2098933764858,1911.6143395122879,3621.965395538513,8615.781182378632,5883.069604461487,889.2538176213675
8,California,San Jose,"Data Scientist, IT",117109.79,87.37157290820353,72.68297470089568,81.53667668528558,91.06606070919574,1710.158745161431,4979.716586431188,1810.7436804259441,3393.738893775367,258.34530762591737,1291.7083249174452,648.8933340645083,1928.5054769603744,3520.902425587375,8373.455480206556,6238.246741079291,1385.6936864601103
9,California,San Mateo,"Data Scientist, IT",104804.68,89.11942489402246,74.10396493025674,80.61627946703794,90.77066162371896,1744.3701512206592,5079.334886007342,1846.1446679109931,3460.0882669112734,257.5072899603283,1287.518295669317,641.5685368825281,1906.7362419543813,3590.514819131652,8539.423152918615,5143.208514201681,194.30018041471885
10,California,Santa Clara,"Data Scientist, IT",109926.79,87.44284389050276,72.53914150904777,81.47096176143978,91.06606070919574,1711.5537606063665,4983.778654686037,1807.160378500756,3387.022984039987,258.34530762591737,1291.7083249174452,648.3703549860663,1926.9511875815738,3518.7141391071227,8370.801638726025,5641.8516942262095,789.7641946073072
11,California,Santa Monica,"Data Scientist, IT",88988.76,77.54781484457374,60.07812379756293,77.10265177550751,85.07650126727468,1517.8743990787796,4419.814442722027,1496.7202903563057,2805.1887836991377,241.35352644513156,1206.7506169254043,613.6060336250215,1823.6319197943035,3014.5946894350855,7225.003226421164,4401.135310564914,190.7267735788355
12,California,Sunnyvale,"Data Scientist, IT",98263.52,87.73871239712932,74.45469644082486,81.23548678698016,91.8228400494589,1717.3449132339708,5000.641591460666,1854.8824069606258,3476.464745358749,260.49221493630995,1302.44271011354,646.4963744968243,1921.3817334856546,3572.2273201945964,8477.106336819415,4616.399346472071,-288.47967015274844
13,Colorado,Boulder,"Data Scientist, IT",72851.03,78.8156421668809,49.11190163804592,76.48397106999454,83.56811285243057,1542.6900903892267,4492.073880608727,1223.5198943184744,2293.150100449214,237.0743793510603,1185.355183132731,608.6823869663376,1808.9988837475107,2766.209984707701,6785.223981057941,3304.7091819589655,-714.3048143912747
14,Colorado,Denver,"Data Scientist, IT",79984.8,77.46174636067781,49.1968956325605,76.75220278947548,82.24460539693588,1516.189746216091,4414.908995302923,1225.6373412044165,2297.1186697889866,233.31972105056738,1166.5821563317577,610.8170554594827,1815.3431003766739,2741.8270874205073,6712.0276650919095,3923.5729125794933,-46.627665091908966
15,District of Columbia,Washington,"Data Scientist, IT",79280.37,90.28887282345134,49.001171262082345,81.85147954822261,93.83634559822664,1767.2602233225423,5145.987219910762,1220.7612795351313,2287.979838979091,266.2043288276092,1331.0028768689263,651.3986296886201,1935.9511942745612,2988.0215028576736,7433.967058889853,3618.6759971423257,-827.2695588898541
