,state,city,occupation,salary,cpi_index,rent_index,restaurant_price_index,groceries_index,cpi_single,cpi_family,rent_single,rent_family,groceries_single,groceries_family,restaurant_single,restaurant_family,col_single,col_family,ds_single,ds_family
0,California,Cupertino,"Data Scientist, IT",125000.0,80.39738517116805,72.87580555535713,87.24363111967925,81.58303658898065,1814.4519502193523,4938.636512762803,2265.5231823351633,3833.6754630933706,229.02630077668408,1145.150447332616,756.090867161971,2125.649200678589,4079.9751325545158,8772.311975856173,6336.69153411215,1644.3546908104927
1,California,Irvine,"Data Scientist, IT",85295.36,89.49280208374347,56.280840151021515,78.19897953503381,76.19441343191448,2019.7222698938647,5497.348191850521,1749.6279747684503,2960.6873541227096,213.89893509452543,1069.5123676922378,677.7060226518723,1905.2806056926197,3769.350244662315,8458.035545973231,3338.5964220043516,-1350.0888793065642
2,California,Los Angeles,"Data Scientist, IT",86269.74,78.00015668150301,58.8245356752999,77.04440732107268,86.13324443708926,1760.3499928119866,4791.379980435423,1828.7049899059007,3094.4999829189564,241.8000012270313,1209.0200061352577,667.7000027825541,1877.1500078227816,3589.0549827178875,7885.8799633543795,3600.090017282113,-696.734963354379
3,California,Menlo Park,"Data Scientist, IT",86400.0,89.8164568186001,74.3357889254821,80.57538917732417,93.97744861359675,2027.0266861209354,5517.229598287913,2310.9103467806995,3910.478763995765,263.8208665955701,1319.1261543894798,698.301011697051,1963.1806860972279,4337.937032901635,9427.708362283678,2862.0629670983653,-2227.708362283678
4,California,Mountain View,"Data Scientist, IT",103042.0,88.0312048241135,74.45469644082486,81.23548678698016,92.16816711097931,1986.7361473660649,5407.56545105622,2314.6068785790103,3916.733965162641,258.7417096171926,1293.7299493853523,704.0217017656668,1979.263647550429,4301.343025945075,9324.29941621886,4285.490307388259,-737.4660828855267
5,California,Palo Alto,"Data Scientist, IT",114109.51,88.24937932747912,74.69847511609082,82.01072722644962,92.54535854249175,1991.6600283141463,5420.967436284735,2322.185336696423,3929.558088596619,259.800590995673,1299.0244438609948,710.7402691684084,1998.1520087905913,4313.845365010569,9350.525524881356,5195.280468322764,158.60030845197798
6,California,San Diego,"Data Scientist, IT",91324.0,62.44659841027246,43.98485639047013,73.04962381887397,70.34133153166468,1409.3288236781768,3835.958723660149,1367.3771571361765,2313.8497531082917,197.46770439014836,987.3548550941983,633.079489129719,1779.8190250409646,2776.705980814353,6149.808476768441,4833.62735251898,1460.5248565648917
7,California,San Francisco,"Data Scientist, IT",114060.42,89.97677643079977,74.69278806352919,80.82252407882157,91.6805964003635,2030.6448663937738,5527.077683382168,2322.0085407170254,3929.258917785447,257.37296286678685,1286.8861024201929,700.4427891492392,1969.202009362729,4352.653407110799,9456.336601167615,5152.381592889201,48.698398832384555
8,California,San Jose,"Data Scientist, IT",117109.79,87.37157290820353,72.68297470089568,81.53667668528558,91.06606070919574,1971.849215238837,5367.045697111972,2259.528562204068,3823.5314803319775,255.64779006214522,1278.2600957027907,706.6319430917962,1986.6019948700994,4231.3777774429045,9190.577177443949,5527.771389223762,568.5719892227171
9,California,San Mateo,"Data Scientist, IT",104804.68,89.11942489402246,74.10396493025674,80.61627946703794,90.77066162371896,2011.2956902406288,5474.412443153433,2303.7035292175556,3898.283523675894,254.81852257434127,1274.113689672581,698.6553845516811,1964.1769583812911,4314.999219458185,9372.695966829328,4418.724113875149,-638.9726334959942
10,California,Santa Clara,"Data Scientist, IT",109926.79,87.44284389050276,72.53914150904777,81.47096176143978,91.06606070919574,1973.4576975613845,5371.423718545555,2255.0571546081246,3815.9650490018025,255.64779006214522,1278.2600957027907,706.0624292703471,1985.0008822896991,4228.514852169509,9187.388767547358,4932.050981163823,-26.822934214025736
11,California,Santa Monica,"Data Scientist, IT",88988.76,77.54781484457374,60.07812379756293,77.10265177550751,85.07650126727468,1750.1412960187422,4763.5936052025345,1867.6758517776036,3160.4457380090253,238.8334288956656,1194.1868991043739,668.2047742999225,1878.569106001347,3617.817147796346,7924.03934321156,3797.9128522036535,-508.3093432115602
