,short_name,city_id,latitude,longitude,city_vicinity,distance_mi
0,Salt Lake City,3479,40.7607793,-111.8910474,Salt Lake City,0.4313304103500192
1,Clearfield,11619,41.1134756,-112.0244382,Salt Lake City,24.914778020765606
2,Tooele,10963,40.5307776,-112.29828,Salt Lake City,26.92869682629106
3,Roy,8071,41.1616108,-112.0263313,Salt Lake City,28.141949268679394
4,Ogden,11833,41.2230048,-111.9738429,Salt Lake City,31.766801016718205
5,Orem,9860,40.2975185,-111.6944685,Salt Lake City,33.99823137284707
