,city,crime_index,traffic_time_index,cpi_and_rent_index,purchasing_power_incl_rent_index,restaurant_price_index,property_price_to_income_ratio,climate_index,safety_index,traffic_co2_index,cpi_index,traffic_inefficiency_index,quality_of_life_index,rent_index,health_care_index,traffic_index,groceries_index,pollution_index
0,Nashville,45.02314814814815,37.42857142857143,60.228922001529114,110.43736454293392,69.37821795955367,3.022312757536145,83.260216704791,54.97685185185185,8780.42857142857,71.8752116823048,222.34272648661863,167.88489859912298,47.72636340016814,62.66835016835018,177.37050779083322,74.2801108373364,30.731366956946115
1,Murfreesboro,24.21875,17.5,,,60.985469687267624,1.471497740056189,79.6313198181336,75.78125,4655,,52.259792389187226,,27.744703773259356,63.888888888888886,97.13995401572382,85.34502508952212,
2,Clarksville,78.125,55,,,64.17890086033107,9.98651688661402,79.70510455092698,21.875,14630,,398.9500044055386,,30.316675054253622,,297.96723122868264,69.8349260229911,12.413793103448276
3,Bowling Green,43.75,30,,,58.007828145650684,,80.49839632149919,56.24999999999999,7980,,102.43500598061242,,21.082017988783278,38.888888888888886,139.91285603224634,68.9635854448894,27.586206896551722
