,city,crime_index,traffic_time_index,cpi_and_rent_index,purchasing_power_incl_rent_index,restaurant_price_index,property_price_to_income_ratio,climate_index,safety_index,traffic_co2_index,cpi_index,traffic_inefficiency_index,quality_of_life_index,rent_index,health_care_index,traffic_index,groceries_index,pollution_index
0,Charlotte,41.55804367201426,41.43333333333333,58.603184465711756,90.72115671612197,73.87210543773391,3.186801072153746,84.02517923869127,58.44195632798574,10037.066666666668,75.3519193822769,249.4980829493154,165.19747344246892,40.623034088834864,75.64102564102565,202.78289373442524,79.39854146247272,29.40437869300644
1,Concord,54.6875,,,,65.94990807226189,,84.2527536730407,45.3125,,,,,24.122995797488255,,,82.2383523243781,27.586206896551722
2,Rock Hill,85.9375,,,,41.54652679293819,,84.56501860081188,14.0625,,,,,26.47617495141151,,,87.35422791704892,26.724137931034484
3,Mooresville,,,,,62.495997107393194,,,,,,,,,,,,27.586206896551722
4,Hickory,,,,,57.64519941588259,,85.16575851953085,,,,,,,,,,27.586206896551722
