,city,crime_index,traffic_time_index,cpi_and_rent_index,purchasing_power_incl_rent_index,restaurant_price_index,property_price_to_income_ratio,climate_index,safety_index,traffic_co2_index,cpi_index,traffic_inefficiency_index,quality_of_life_index,rent_index,health_care_index,traffic_index,groceries_index,pollution_index
0,Saint Louis,66.93816073754164,30.466666666666665,51.153613349683056,128.86305658402082,68.14452328174829,1.8897621827159135,76.90714745860183,33.06183926245836,6563.733333333333,70.76042765071236,191.59921401930546,172.25112695607794,30.105249320986267,79.85449735449737,136.80168223717956,71.32932251845338,33.191023535851116
1,Clayton,,,,,,,76.88206449876638,,,,,,31.422273568708164,,,,
2,Belleville,,,,,59.633273120984455,1.277900426908305,74.02508355198005,,,,,,20.825984648593803,,,,
3,O'Fallon,17.1875,,,,59.501756363357295,,,82.8125,,,,,21.297318752124426,,,82.2842638462703,
4,Alton,,,,,57.714149949007506,,73.59696992522488,,,,,,20.59904600615313,94.44444444444444,,,
5,Saint Charles,32.8125,,,,54.31514403829383,,76.86497124583059,67.1875,,,,,25.417127953355052,,,53.83734871933722,56.89655172413793
6,Farmington,,,,,,,75.33623458986526,,,,,,18.89409671807322,,,,
