,city,crime_index,traffic_time_index,cpi_and_rent_index,purchasing_power_incl_rent_index,restaurant_price_index,property_price_to_income_ratio,climate_index,safety_index,traffic_co2_index,cpi_index,traffic_inefficiency_index,quality_of_life_index,rent_index,health_care_index,traffic_index,groceries_index,pollution_index
0,Indianapolis,50.65356182795699,35.315789473684205,56.00683387061145,75.17324866123433,74.25928854036275,2.2705654692880897,72.20590436885387,49.34643817204301,7476.315789473684,74.91576805498748,175.847686043952,145.2484688755646,35.707660124342965,69.0018315018315,159.6216916466072,73.91948981912758,39.377704872260225
1,Kokomo,45.1171875,19.5,37.833623395025946,98.10529031725025,56.23043662509717,2.0961299232539985,,54.8828125,1500,53.092130834383035,42.29302589602999,,21.453266332058014,73.61111111111111,69.1490227373607,52.74295938177538,11.03448275862069
2,Lafayette,22.916666666666668,,46.78360300823414,134.55305445148377,60.04442259628491,1.481554784598483,,77.08333333333331,,73.45141957323129,,,18.155091395253606,44.44444444444444,,84.3295338303666,51.37931034482759
3,Columbus,36.45833333333333,,,,59.66264094064878,1.2613957519581704,,63.541666666666664,,,,,28.04728862984692,80.55555555555556,,64.79826856290344,
4,Bloomington,34.765625,25,63.92719153345855,77.49959166200651,75.43042396812068,4.05857191780101,70.61875839471045,65.234375,6650,92.13873769408521,95.8073695692369,,33.641450857571215,,121.33565605596942,112.83056284114659,39.50191570881226
